aseg_Brain-Stem_groupmean,aseg_CC_Anterior_groupmean,aseg_CC_Mid_Anterior_groupmean,aseg_CC_Central_groupmean,aseg_CC_Mid_Posterior_groupmean,aseg_CC_Posterior_groupmean,aseg_Optic-Chiasm_groupmean,aseg_Brain-Stem_groupmedian,aseg_CC_Anterior_groupmedian,aseg_CC_Mid_Anterior_groupmedian,aseg_CC_Central_groupmedian,aseg_CC_Mid_Posterior_groupmedian,aseg_CC_Posterior_groupmedian,aseg_Optic-Chiasm_groupmedian,aseg_Brain-Stem_groupstd,aseg_CC_Anterior_groupstd,aseg_CC_Mid_Anterior_groupstd,aseg_CC_Central_groupstd,aseg_CC_Mid_Posterior_groupstd,aseg_CC_Posterior_groupstd,aseg_Optic-Chiasm_groupstd
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
19933.31684,878.3978947,671.9752632,675.4442105,553.5747368,1006.201053,187.4294737,19905.25,865.5,643.95,640.3,533.5,1013.4,186.7,2350.848766,157.4045265,188.7450644,204.4571878,146.6938441,202.0122664,41.5386551
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
19933.31684,878.3978947,671.9752632,675.4442105,553.5747368,1006.201053,187.4294737,19905.25,865.5,643.95,640.3,533.5,1013.4,186.7,2350.848766,157.4045265,188.7450644,204.4571878,146.6938441,202.0122664,41.5386551
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
19933.31684,878.3978947,671.9752632,675.4442105,553.5747368,1006.201053,187.4294737,19905.25,865.5,643.95,640.3,533.5,1013.4,186.7,2350.848766,157.4045265,188.7450644,204.4571878,146.6938441,202.0122664,41.5386551
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
19933.31684,878.3978947,671.9752632,675.4442105,553.5747368,1006.201053,187.4294737,19905.25,865.5,643.95,640.3,533.5,1013.4,186.7,2350.848766,157.4045265,188.7450644,204.4571878,146.6938441,202.0122664,41.5386551
19782.78563,874.348125,624.2275,641.46875,564.25125,998.006875,195.058125,20024.15,874.4,602.5,595.75,546.2,1000.1,199.9,2153.14257,161.1049254,172.1972724,180.0733897,133.2059421,157.3073497,42.38226678
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
19782.78563,874.348125,624.2275,641.46875,564.25125,998.006875,195.058125,20024.15,874.4,602.5,595.75,546.2,1000.1,199.9,2153.14257,161.1049254,172.1972724,180.0733897,133.2059421,157.3073497,42.38226678
19782.78563,874.348125,624.2275,641.46875,564.25125,998.006875,195.058125,20024.15,874.4,602.5,595.75,546.2,1000.1,199.9,2153.14257,161.1049254,172.1972724,180.0733897,133.2059421,157.3073497,42.38226678
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
19833.11038,875.0377049,691.1568306,713.5065574,552.8540984,1002.63224,180.1464481,19625,867.5,672,716.2,537.2,993.7,178.7,2527.55132,140.2725708,177.280111,168.6345338,119.3502095,165.7570123,44.3168459
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
19782.78563,874.348125,624.2275,641.46875,564.25125,998.006875,195.058125,20024.15,874.4,602.5,595.75,546.2,1000.1,199.9,2153.14257,161.1049254,172.1972724,180.0733897,133.2059421,157.3073497,42.38226678
19782.78563,874.348125,624.2275,641.46875,564.25125,998.006875,195.058125,20024.15,874.4,602.5,595.75,546.2,1000.1,199.9,2153.14257,161.1049254,172.1972724,180.0733897,133.2059421,157.3073497,42.38226678
19782.78563,874.348125,624.2275,641.46875,564.25125,998.006875,195.058125,20024.15,874.4,602.5,595.75,546.2,1000.1,199.9,2153.14257,161.1049254,172.1972724,180.0733897,133.2059421,157.3073497,42.38226678
19782.78563,874.348125,624.2275,641.46875,564.25125,998.006875,195.058125,20024.15,874.4,602.5,595.75,546.2,1000.1,199.9,2153.14257,161.1049254,172.1972724,180.0733897,133.2059421,157.3073497,42.38226678
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
19643.55939,876.2964467,582.7426396,588.3964467,542.122335,1014.283756,201.384264,19673.8,858.7,554.2,563,521,998.5,198.9,2052.916794,150.8340294,169.2032084,167.342478,134.7181173,171.9807463,42.61074295
19643.55939,876.2964467,582.7426396,588.3964467,542.122335,1014.283756,201.384264,19673.8,858.7,554.2,563,521,998.5,198.9,2052.916794,150.8340294,169.2032084,167.342478,134.7181173,171.9807463,42.61074295
19643.55939,876.2964467,582.7426396,588.3964467,542.122335,1014.283756,201.384264,19673.8,858.7,554.2,563,521,998.5,198.9,2052.916794,150.8340294,169.2032084,167.342478,134.7181173,171.9807463,42.61074295
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
19933.31684,878.3978947,671.9752632,675.4442105,553.5747368,1006.201053,187.4294737,19905.25,865.5,643.95,640.3,533.5,1013.4,186.7,2350.848766,157.4045265,188.7450644,204.4571878,146.6938441,202.0122664,41.5386551
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
19933.31684,878.3978947,671.9752632,675.4442105,553.5747368,1006.201053,187.4294737,19905.25,865.5,643.95,640.3,533.5,1013.4,186.7,2350.848766,157.4045265,188.7450644,204.4571878,146.6938441,202.0122664,41.5386551
20036.88929,870.0419643,689.4580357,704.7526786,541.4758929,983.9602679,179.45625,19966.4,865.25,672.85,708.8,537.2,980.95,178.4,2270.726448,141.2432508,172.7566378,182.3191857,117.2438528,143.1665194,46.42586217
20165.94769,905.6410256,683.4528205,700.1948718,572.5861538,1031.207179,189.3307692,20354,877.9,672.8,684.8,562.6,1009.2,192.9,2342.068575,175.1003735,180.8854602,185.6488071,119.36966,176.5978341,45.35762791
20058.89474,865.3469298,681.7530702,696.1390351,551.7078947,1002.174123,187.3013158,20050.65,836.95,662.35,672.55,524.8,986.3,188.65,2079.491382,158.4117646,190.1916892,198.5532204,137.4815279,177.0223092,46.32564915
19826.45516,896.0107623,672.8847534,678.338565,566.096861,1047.420179,187.7914798,19801.7,892.4,648.3,665.2,566.4,1036.2,188.9,2179.880358,140.5678992,188.772863,207.3149118,129.5401897,161.3280785,41.83885505
